2021-06-25 19:32:06 startup archives install
2021-06-25 19:32:06 install base-passwd:armhf <none> 3.5.49
2021-06-25 19:32:06 status half-installed base-passwd:armhf 3.5.49
2021-06-25 19:32:06 status unpacked base-passwd:armhf 3.5.49
2021-06-25 19:32:06 configure base-passwd:armhf 3.5.49 3.5.49
2021-06-25 19:32:06 status half-configured base-passwd:armhf 3.5.49
2021-06-25 19:32:06 status installed base-passwd:armhf 3.5.49
2021-06-25 19:32:06 startup archives install
2021-06-25 19:32:06 install base-files:armhf <none> 11ubuntu19
2021-06-25 19:32:06 status half-installed base-files:armhf 11ubuntu19
2021-06-25 19:32:06 status unpacked base-files:armhf 11ubuntu19
2021-06-25 19:32:06 configure base-files:armhf 11ubuntu19 11ubuntu19
2021-06-25 19:32:06 status half-configured base-files:armhf 11ubuntu19
2021-06-25 19:32:06 status installed base-files:armhf 11ubuntu19
2021-06-25 19:32:06 startup archives install
2021-06-25 19:32:06 upgrade dpkg 1.20.9ubuntu1 1.20.9ubuntu1
2021-06-25 19:32:06 status half-configured dpkg 1.20.9ubuntu1
2021-06-25 19:32:06 status unpacked dpkg 1.20.9ubuntu1
2021-06-25 19:32:06 status half-installed dpkg 1.20.9ubuntu1
2021-06-25 19:32:07 status unpacked dpkg:armhf 1.20.9ubuntu1
2021-06-25 19:32:07 configure dpkg:armhf 1.20.9ubuntu1 1.20.9ubuntu1
2021-06-25 19:32:07 status half-configured dpkg:armhf 1.20.9ubuntu1
2021-06-25 19:32:07 status installed dpkg:armhf 1.20.9ubuntu1
2021-06-25 19:32:07 startup archives install
2021-06-25 19:32:07 install libc6:armhf <none> 2.33-0ubuntu5
2021-06-25 19:32:07 status half-installed libc6:armhf 2.33-0ubuntu5
2021-06-25 19:32:08 status unpacked libc6:armhf 2.33-0ubuntu5
2021-06-25 19:32:08 configure libc6:armhf 2.33-0ubuntu5 2.33-0ubuntu5
2021-06-25 19:32:08 status half-configured libc6:armhf 2.33-0ubuntu5
2021-06-25 19:32:08 status installed libc6:armhf 2.33-0ubuntu5
2021-06-25 19:32:08 startup archives install
2021-06-25 19:32:08 install perl-base:armhf <none> 5.32.1-3ubuntu2
2021-06-25 19:32:08 status half-installed perl-base:armhf 5.32.1-3ubuntu2
2021-06-25 19:32:09 status unpacked perl-base:armhf 5.32.1-3ubuntu2
2021-06-25 19:32:09 configure perl-base:armhf 5.32.1-3ubuntu2 5.32.1-3ubuntu2
2021-06-25 19:32:09 status half-configured perl-base:armhf 5.32.1-3ubuntu2
2021-06-25 19:32:09 status installed perl-base:armhf 5.32.1-3ubuntu2
2021-06-25 19:32:09 startup archives install
2021-06-25 19:32:09 install mawk:armhf <none> 1.3.4.20200120-2
2021-06-25 19:32:09 status half-installed mawk:armhf 1.3.4.20200120-2
2021-06-25 19:32:09 status unpacked mawk:armhf 1.3.4.20200120-2
2021-06-25 19:32:09 configure mawk:armhf 1.3.4.20200120-2 1.3.4.20200120-2
2021-06-25 19:32:09 status half-configured mawk:armhf 1.3.4.20200120-2
2021-06-25 19:32:09 status installed mawk:armhf 1.3.4.20200120-2
2021-06-25 19:32:09 startup archives unpack
2021-06-25 19:32:09 upgrade base-files:armhf 11ubuntu19 11ubuntu19
2021-06-25 19:32:09 status half-configured base-files:armhf 11ubuntu19
2021-06-25 19:32:09 status unpacked base-files:armhf 11ubuntu19
2021-06-25 19:32:09 status half-installed base-files:armhf 11ubuntu19
2021-06-25 19:32:09 status unpacked base-files:armhf 11ubuntu19
2021-06-25 19:32:09 upgrade base-passwd:armhf 3.5.49 3.5.49
2021-06-25 19:32:09 status half-configured base-passwd:armhf 3.5.49
2021-06-25 19:32:09 status unpacked base-passwd:armhf 3.5.49
2021-06-25 19:32:09 status half-installed base-passwd:armhf 3.5.49
2021-06-25 19:32:09 status unpacked base-passwd:armhf 3.5.49
2021-06-25 19:32:09 install bash:armhf <none> 5.1-2ubuntu1
2021-06-25 19:32:09 status half-installed bash:armhf 5.1-2ubuntu1
2021-06-25 19:32:09 status unpacked bash:armhf 5.1-2ubuntu1
2021-06-25 19:32:09 install bsdutils:armhf <none> 1:2.36.1-7ubuntu2
2021-06-25 19:32:09 status half-installed bsdutils:armhf 1:2.36.1-7ubuntu2
2021-06-25 19:32:09 status unpacked bsdutils:armhf 1:2.36.1-7ubuntu2
2021-06-25 19:32:09 install coreutils:armhf <none> 8.32-4ubuntu2
2021-06-25 19:32:09 status half-installed coreutils:armhf 8.32-4ubuntu2
2021-06-25 19:32:10 status unpacked coreutils:armhf 8.32-4ubuntu2
2021-06-25 19:32:10 install dash:armhf <none> 0.5.11+git20200708+dd9ef66+really0.5.11+git20200708+dd9ef66-5ubuntu1
2021-06-25 19:32:10 status half-installed dash:armhf 0.5.11+git20200708+dd9ef66+really0.5.11+git20200708+dd9ef66-5ubuntu1
2021-06-25 19:32:10 status unpacked dash:armhf 0.5.11+git20200708+dd9ef66+really0.5.11+git20200708+dd9ef66-5ubuntu1
2021-06-25 19:32:10 install debconf:all <none> 1.5.74
2021-06-25 19:32:10 status half-installed debconf:all 1.5.74
2021-06-25 19:32:10 status unpacked debconf:all 1.5.74
2021-06-25 19:32:10 install debianutils:armhf <none> 4.11.2
2021-06-25 19:32:10 status half-installed debianutils:armhf 4.11.2
2021-06-25 19:32:10 status unpacked debianutils:armhf 4.11.2
2021-06-25 19:32:10 install diffutils:armhf <none> 1:3.7-3ubuntu1
2021-06-25 19:32:10 status half-installed diffutils:armhf 1:3.7-3ubuntu1
2021-06-25 19:32:10 status unpacked diffutils:armhf 1:3.7-3ubuntu1
2021-06-25 19:32:10 upgrade dpkg:armhf 1.20.9ubuntu1 1.20.9ubuntu1
2021-06-25 19:32:10 status half-configured dpkg:armhf 1.20.9ubuntu1
2021-06-25 19:32:10 status unpacked dpkg:armhf 1.20.9ubuntu1
2021-06-25 19:32:10 status half-installed dpkg:armhf 1.20.9ubuntu1
2021-06-25 19:32:10 status unpacked dpkg:armhf 1.20.9ubuntu1
2021-06-25 19:32:11 install e2fsprogs:armhf <none> 1.45.7-1ubuntu2
2021-06-25 19:32:11 status half-installed e2fsprogs:armhf 1.45.7-1ubuntu2
2021-06-25 19:32:11 status unpacked e2fsprogs:armhf 1.45.7-1ubuntu2
2021-06-25 19:32:11 install findutils:armhf <none> 4.8.0-1ubuntu1
